"nombre_discurso","topico","palabras","probabilidades"
"Argentina_2023_Javier_Milei","Topico_4","['aplausos', 'argentinos', 'mil', 'millones', 'dólares', 'país', 'hoy', 'social', 'libertad', 'señores', 'vez', 'deuda', 'ciento', 'mundo', 'vencimientos', 'capacidad', 'año', 'siga', 'casualidad', 'esencia']","[0.026766285, 0.012901692, 0.010390591, 0.010369783, 0.010353725, 0.008133962, 0.007933021, 0.007892857, 0.007892681, 0.007890628, 0.007875868, 0.007870936, 0.0054481816, 0.005381561, 0.0053815227, 0.0053814915, 0.0053814906, 0.0053814515, 0.0053814477, 0.0053813593]"
"Argentina_2023_Javier_Milei","Topico_5","['ciento', 'vamos', 'hoy', 'inflación', 'deja', 'herencia', 'país', 'argentinos', 'programas', 'pobreza', 'anual', 'historia', 'tasa', 'shock', 'gemelos', 'lugar', 'déficit', 'punto', 'camino', 'luz']","[0.014657385, 0.009958685, 0.0076335887, 0.0075132083, 0.0075048353, 0.007470748, 0.0074333586, 0.0051949625, 0.0051509878, 0.0051509873, 0.0051509845, 0.005150984, 0.0051509766, 0.0051509743, 0.005150967, 0.0051509547, 0.0051509505, 0.0051509435, 0.0051509137, 0.0051508984]"
"Argentina_2023_Javier_Milei","Topico_6","['país', 'sido', 'años', 'tal', 'vida', 'día', 'recuerdo', 'importa', '100', 'nivel', 'todas', 'ideas', 'libertad', 'hoy', 'importante', 'dónde', 'dos', 'acción', 'único', 'política']","[0.0131843835, 0.0106762815, 0.010615781, 0.010499097, 0.010386404, 0.010347008, 0.008100441, 0.008100308, 0.008040474, 0.007933099, 0.007932827, 0.007911448, 0.007903717, 0.007856928, 0.0055691027, 0.005536728, 0.005522988, 0.0055229208, 0.0055228993, 0.0055226455]"
"Argentina_2023_Javier_Milei","Topico_7","['ciento', 'puntos', 'mismo', 'país', 'ajuste', 'argentina', 'sólo', 'alternativa', '20', 'fiscal', '16', 'pbi', 'central', 'déficit', 'banco', 'inflación', 'millones', 'vida', 'única', 'si']","[0.013325946, 0.012636354, 0.010799128, 0.010773433, 0.0107696755, 0.010729789, 0.0106026875, 0.008186299, 0.008179153, 0.008131365, 0.008122397, 0.007251394, 0.007235615, 0.00723032, 0.007218549, 0.00560138, 0.0055923727, 0.0055875764, 0.0055816215, 0.0055763894]"
"Bolivia_2017_Evo_Morales","Topico_1","['millones', 'bolivia', 'hermanos', 'aplausos', 'tema', '2005', 'hogares', 'energía', 'ahora', 'hermanas', 'datos', 'va', 'si', 'bolivianos', 'potable', 'acceso', 'construcción', 'agua', 'gobiernos', '2016']","[0.011320532, 0.009797208, 0.008902478, 0.008199176, 0.008086205, 0.006380629, 0.0063693356, 0.0063693286, 0.0063392785, 0.0063000647, 0.0051804734, 0.005173882, 0.0051597496, 0.005096652, 0.0049982374, 0.004898762, 0.0048144385, 0.004738308, 0.004664064, 0.004198311]"
"Bolivia_2017_Evo_Morales","Topico_2","['bolivia', 'aplausos', 'tema', 'pib', '2017', 'cápita', 'per', 'inversión', 'pueblo', 'hacia', 'agosto', '6', 'cobija', '192', 'año', 'internacional', '2016', 'sólo', 'pública', 'diálogo']","[0.0321359, 0.014425317, 0.014130169, 0.012269342, 0.008664028, 0.0066461507, 0.0066461074, 0.0057979436, 0.0057308264, 0.0054624574, 0.005340447, 0.0052739857, 0.005242308, 0.0051449738, 0.0048794197, 0.004686857, 0.004650629, 0.004642612, 0.004618472, 0.004597321]"
"Bolivia_2017_Evo_Morales","Topico_3","['hectáreas', 'mil', '2005', '10', 'ahora', '2016', 'años', 'vida', 'bolivia', 'aplausos', 'bachilleres', 'esperanza', 'pobre', 'rico', 'veces', 'ingresos', 'mujeres', 'resultados', 'unidad', 'informe']","[0.018850897, 0.016729834, 0.016087372, 0.014575508, 0.014333427, 0.012499413, 0.011756942, 0.010334329, 0.009465323, 0.009025325, 0.007812408, 0.0078123603, 0.007415604, 0.0073857177, 0.0073806318, 0.007324893, 0.0065406747, 0.0051202197, 0.0050506038, 0.005039871]"
"Bolivia_2017_Evo_Morales","Topico_4","['bolivia', 'millones', '2005', '2016', 'ahora', 'mil', 'personas', 'dólares', 'salud', 'consejo', 'toneladas', 'métricas', '4', 'clase', 'pando', 'aplausos', '2014', 'gobierno', 'mundo', 'seguridad']","[0.01785486, 0.014920261, 0.012675395, 0.008352957, 0.0076657073, 0.0069847624, 0.006975564, 0.005781231, 0.005709828, 0.0057018525, 0.005694813, 0.005694795, 0.005644965, 0.00558162, 0.005469835, 0.005467858, 0.00527437, 0.004974313, 0.004497728, 0.0043235514]"
"Bolivia_2017_Evo_Morales","Topico_5","['inversión', 'millones', 'bolivia', 'año', 'área', '2016', 'dólares', 'hermanos', 'mil', 'tema', '2005', 'ahora', 'importante', 'salud', 'personas', 'aplausos', 'urbana', 'hermanas', 'tan', 'todas']","[0.019600436, 0.018070659, 0.012189543, 0.010200082, 0.009115134, 0.008694686, 0.007453357, 0.006819304, 0.0062475544, 0.006225015, 0.0061102416, 0.006046883, 0.005991615, 0.005981794, 0.00597119, 0.00585647, 0.005362651, 0.004906414, 0.004814157, 0.0042021642]"
"Bolivia_2017_Evo_Morales","Topico_6","['aplausos', 'bolivia', 'hermanos', 'hermano', 'pando', 'temas', 'presidente', 'tema', 'corredor', 'vicepresidente', 'años', 'asamblea', 'departamento', 'países', 'área', 'rural', 'ferroviario', 'bioceánico', 'trabajo', 'plurinacional']","[0.021416698, 0.014565057, 0.012326996, 0.008239078, 0.007935499, 0.00715238, 0.007024355, 0.0058225314, 0.0058005825, 0.0057130074, 0.0056802263, 0.0056688497, 0.004989775, 0.004588649, 0.00457257, 0.0044172425, 0.004408283, 0.0043945233, 0.0043677576, 0.004364536]"
"Bolivia_2017_Evo_Morales","Topico_7","['millones', 'dólares', 'aplausos', 'bolivia', 'año', 'internacionales', 'quiero', 'tema', 'gobierno', 'ahora', 'nacional', 'hidrocarburos', 'si', 'responsabilidad', 'pese', 'reservas', '2005', 'cuatro', 'va', 'energía']","[0.016596071, 0.01640601, 0.014541443, 0.008546897, 0.008233244, 0.007077228, 0.006096837, 0.006086535, 0.0060313926, 0.0053809145, 0.0049118353, 0.0048714923, 0.0048532807, 0.0048487107, 0.004803163, 0.004722474, 0.003950703, 0.0037801962, 0.0037562593, 0.0037562086]"
"Bolivia_2018_Evo_Morales","Topico_1","['hermanos', 'hermanas', 'bolivia', 'ahora', 'viva', 'aplausos', 'departamento', 'uyuni', 'empresas', 'contrabando', 'derecho', 'vamos', 'económico', 'construcción', 'quiero', 'pueblo', 'seguir', 'cómo', 'potosí', 'humano']","[0.027222505, 0.026837416, 0.016216625, 0.014010756, 0.013788129, 0.013579377, 0.011676277, 0.009398077, 0.0072803674, 0.0071682786, 0.0071355477, 0.0071306294, 0.0071242736, 0.0070440546, 0.005937206, 0.005730763, 0.004888259, 0.0048651323, 0.0048651043, 0.004865088]"
"Bolivia_2018_Evo_Morales","Topico_2","['dólares', 'millones', 'aplausos', 'quiero', 'hermanos', 'decirles', 'hermanas', '2005', '2017', 'potosí', 'departamento', 'años', 'bolivia', 'ahorro', 'pueblo', 'internacionales', 'tema', 'dejaron', 'desempleo', 'comandante']","[0.037906215, 0.03782004, 0.027335795, 0.024246797, 0.021192193, 0.019862713, 0.01939593, 0.017130498, 0.013823092, 0.013684235, 0.011402783, 0.011398892, 0.009233185, 0.009231492, 0.008585956, 0.0070157577, 0.0070099155, 0.0069677504, 0.0069531305, 0.0069251494]"
"Bolivia_2018_Evo_Morales","Topico_3","['ahora', 'millones', 'hermano', 'dólares', 'aplausos', 'decía', 'pueblo', 'gracias', 'quiero', 'patria', 'dejaron', 'hermanos', 'hermanas', 'bolivia', 'papa', 's', 'empresas', 'nuevamente', 'álvaro', 'utilidades']","[0.020031488, 0.020006144, 0.017677035, 0.01757215, 0.015095912, 0.015040059, 0.014563121, 0.011863832, 0.011303436, 0.010262275, 0.009850759, 0.008619849, 0.0086121475, 0.008173099, 0.0077664885, 0.007726377, 0.0077182264, 0.007710107, 0.007680782, 0.0076470184]"
